nohup: ignoring input
/bin/bash: /opt/conda/lib/libtinfo.so.6: no version information available (required by /bin/bash)
==========================================
Starting CTGAN sample generation on GPU 0
==========================================

=== Processing 7000 samples ===
Running ctgan_sample_7000_1.py...
[I 2025-12-17 11:10:00,009] A new study created in memory with name: no-name-62666be6-ea93-4bce-83e6-c7505848095b
[I 2025-12-17 11:10:21,026] Trial 0 finished with value: -16.958676822986835 and parameters: {'embedding_dim': 117, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 3}. Best is trial 0 with value: -16.958676822986835.
[I 2025-12-17 12:45:31,852] Trial 23 finished with value: -187.11212307080413 and parameters: {'embedding_dim': 108, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 64, 'discriminator_steps': 3}. Best is trial 2 with value: -10.421075769716.
[I 2025-12-17 12:45:46,014] Trial 24 finished with value: -182.96111252990164 and parameters: {'embedding_dim': 120, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 64, 'discriminator_steps': 3}. Best is trial 2 with value: -10.421075769716.
[I 2025-12-17 12:45:55,727] Trial 25 finished with value: -96.67674110361457 and parameters: {'embedding_dim': 99, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 64, 'discriminator_steps': 2}. Best is trial 2 with value: -10.421075769716.
[I 2025-12-17 12:46:10,328] Trial 26 finished with value: -25.26330885115499 and parameters: {'embedding_dim': 102, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 64, 'discriminator_steps': 3}. Best is trial 2 with value: -10.421075769716.
[I 2025-12-17 12:46:22,724] Trial 27 finished with value: -151.87325019676925 and parameters: {'embedding_dim': 93, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 64, 'discriminator_steps': 3}. Best is trial 2 with value: -10.421075769716.
[I 2025-12-17 12:46:28,337] Trial 28 finished with value: -46.097026039861014 and parameters: {'embedding_dim': 110, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 2 with value: -10.421075769716.
[I 2025-12-17 12:46:41,438] Trial 29 finished with value: -77.93569551782244 and parameters: {'embedding_dim': 86, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 64, 'discriminator_steps': 3}. Best is trial 2 with value: -10.421075769716.
[I 2025-12-17 12:46:50,552] Trial 30 finished with value: -223.38160204793755 and parameters: {'embedding_dim': 85, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 128, 'discriminator_steps': 3}. Best is trial 2 with value: -10.421075769716.
[I 2025-12-17 12:46:55,730] Trial 31 finished with value: -183.39711040755842 and parameters: {'embedding_dim': 79, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 128, 'discriminator_steps': 2}. Best is trial 2 with value: -10.421075769716.
[I 2025-12-17 12:47:00,902] Trial 32 finished with value: -236.9586228572768 and parameters: {'embedding_dim': 75, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 128, 'discriminator_steps': 2}. Best is trial 2 with value: -10.421075769716.
[I 2025-12-17 12:47:06,060] Trial 33 finished with value: -195.3262885337371 and parameters: {'embedding_dim': 82, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 128, 'discriminator_steps': 2}. Best is trial 2 with value: -10.421075769716.
[I 2025-12-17 12:47:12,051] Trial 34 finished with value: -24.1314464385227 and parameters: {'embedding_dim': 93, 'generator_dim': (64, 64), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 128, 'discriminator_steps': 2}. Best is trial 2 with value: -10.421075769716.
[I 2025-12-17 12:47:18,075] Trial 35 finished with value: -9.422069837231707 and parameters: {'embedding_dim': 101, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 128, 'discriminator_steps': 2}. Best is trial 35 with value: -9.422069837231707.
[I 2025-12-17 12:47:21,526] Trial 36 finished with value: -29.526676799295945 and parameters: {'embedding_dim': 101, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 128, 'discriminator_steps': 1}. Best is trial 35 with value: -9.422069837231707.
[I 2025-12-17 12:47:34,134] Trial 37 finished with value: -111.5238228101669 and parameters: {'embedding_dim': 95, 'generator_dim': (64, 64), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 64, 'discriminator_steps': 3}. Best is trial 35 with value: -9.422069837231707.
[I 2025-12-17 12:47:39,269] Trial 38 finished with value: -257.0822208793668 and parameters: {'embedding_dim': 114, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 128, 'discriminator_steps': 2}. Best is trial 35 with value: -9.422069837231707.
[I 2025-12-17 12:47:42,901] Trial 39 finished with value: -55.304645722257625 and parameters: {'embedding_dim': 106, 'generator_dim': (64, 64), 'discriminator_dim': (128, 128), 'pac': 8, 'batch_size': 256, 'discriminator_steps': 1}. Best is trial 35 with value: -9.422069837231707.
[I 2025-12-17 12:47:48,085] Trial 40 finished with value: -112.92781235853379 and parameters: {'embedding_dim': 118, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 128, 'discriminator_steps': 2}. Best is trial 35 with value: -9.422069837231707.
[I 2025-12-17 12:47:53,919] Trial 41 finished with value: -192.84125930971635 and parameters: {'embedding_dim': 90, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 128, 'discriminator_steps': 2}. Best is trial 35 with value: -9.422069837231707.
[I 2025-12-17 12:48:01,116] Trial 42 finished with value: -12.327808506450946 and parameters: {'embedding_dim': 101, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 128, 'discriminator_steps': 2}. Best is trial 35 with value: -9.422069837231707.
[I 2025-12-17 12:48:06,201] Trial 43 finished with value: -355.3591973041408 and parameters: {'embedding_dim': 101, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 128, 'discriminator_steps': 2}. Best is trial 35 with value: -9.422069837231707.
[I 2025-12-17 12:48:11,384] Trial 44 finished with value: -172.70312276977774 and parameters: {'embedding_dim': 109, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 128, 'discriminator_steps': 2}. Best is trial 35 with value: -9.422069837231707.
[I 2025-12-17 12:48:24,070] Trial 45 finished with value: -39.314658866011385 and parameters: {'embedding_dim': 104, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 64, 'discriminator_steps': 3}. Best is trial 35 with value: -9.422069837231707.
[I 2025-12-17 12:48:29,237] Trial 46 finished with value: -49.520322355932244 and parameters: {'embedding_dim': 93, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 8, 'batch_size': 128, 'discriminator_steps': 2}. Best is trial 35 with value: -9.422069837231707.
[I 2025-12-17 12:48:36,574] Trial 47 finished with value: -192.10540880027668 and parameters: {'embedding_dim': 98, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 3}. Best is trial 35 with value: -9.422069837231707.
[I 2025-12-17 12:48:49,215] Trial 48 finished with value: -78.12404884354544 and parameters: {'embedding_dim': 106, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 64, 'discriminator_steps': 3}. Best is trial 35 with value: -9.422069837231707.
[I 2025-12-17 12:48:57,057] Trial 49 finished with value: -21.215393034988768 and parameters: {'embedding_dim': 114, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 64, 'discriminator_steps': 1}. Best is trial 35 with value: -9.422069837231707.
[I 2025-12-17 12:49:02,489] A new study created in memory with name: no-name-571c726d-80ea-456a-8cbf-f787d91ba14b
Saved CTGAN model for class 0: ../save_model/oversampling_models/ctgan_only_7000_1_busan_class0.pkl
Saved CTGAN model for class 1: ../save_model/oversampling_models/ctgan_only_7000_1_busan_class1.pkl
Saved augmented data only ../../data/data_oversampled/augmented_only/ctgan7000_1_busan.csv: Class 0=5499 | Class 1=6204
Saved ../../data/data_oversampled/ctgan7000/ctgan7000_1_busan.csv: Class 0=5499 | Class 1=6204 | Class 2=16492
Processing ../../data/data_for_modeling/daegu_train.csv: Optimizing CTGAN for class 0...
Processing ../../data/data_for_modeling/daegu_train.csv: Optimizing CTGAN for class 1...
Saved CTGAN model for class 0: ../save_model/oversampling_models/ctgan_only_7000_1_daegu_class0.pkl
Saved CTGAN model for class 1: ../save_model/oversampling_models/ctgan_only_7000_1_daegu_class1.pkl
Saved augmented data only ../../data/data_oversampled/augmented_only/ctgan7000_1_daegu.csv: Class 0=6375 | Class 1=6626
Saved ../../data/data_oversampled/ctgan7000/ctgan7000_1_daegu.csv: Class 0=6375 | Class 1=6626 | Class 2=16582
Processing ../../data/data_for_modeling/daejeon_train.csv: Optimizing CTGAN for class 0...
Processing ../../data/data_for_modeling/daejeon_train.csv: Optimizing CTGAN for class 1...
[I 2025-12-17 12:50:01,536] Trial 0 finished with value: -169.24730726379008 and parameters: {'embedding_dim': 455, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 3}. Best is trial 0 with value: -169.24730726379008.
[I 2025-12-17 12:50:24,977] Trial 1 finished with value: -394.71071542666243 and parameters: {'embedding_dim': 400, 'generator_dim': (256, 256), 'discriminator_dim': (128, 128), 'pac': 8, 'batch_size': 1024, 'discriminator_steps': 5}. Best is trial 0 with value: -169.24730726379008.
[I 2025-12-17 12:50:53,957] Trial 2 finished with value: -514.6040901204162 and parameters: {'embedding_dim': 482, 'generator_dim': (256, 256), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 512, 'discriminator_steps': 3}. Best is trial 0 with value: -169.24730726379008.
[I 2025-12-17 12:51:09,012] Trial 3 finished with value: -784.002911986915 and parameters: {'embedding_dim': 213, 'generator_dim': (256, 256), 'discriminator_dim': (256, 256), 'pac': 8, 'batch_size': 512, 'discriminator_steps': 1}. Best is trial 0 with value: -169.24730726379008.
[I 2025-12-17 12:51:44,398] Trial 4 finished with value: -178.9417463639661 and parameters: {'embedding_dim': 369, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 512, 'discriminator_steps': 4}. Best is trial 0 with value: -169.24730726379008.
[I 2025-12-17 12:53:04,757] Trial 5 finished with value: -673.4729252789606 and parameters: {'embedding_dim': 156, 'generator_dim': (256, 256), 'discriminator_dim': (256, 256), 'pac': 8, 'batch_size': 256, 'discriminator_steps': 5}. Best is trial 0 with value: -169.24730726379008.
[I 2025-12-17 12:53:58,444] Trial 6 finished with value: -350.82503206519584 and parameters: {'embedding_dim': 138, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 3}. Best is trial 0 with value: -169.24730726379008.
[I 2025-12-17 12:54:54,471] Trial 7 finished with value: -290.2817254744043 and parameters: {'embedding_dim': 325, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 8, 'batch_size': 256, 'discriminator_steps': 3}. Best is trial 0 with value: -169.24730726379008.
[I 2025-12-17 12:55:15,639] Trial 8 finished with value: -349.837926671086 and parameters: {'embedding_dim': 290, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 8, 'batch_size': 1024, 'discriminator_steps': 5}. Best is trial 0 with value: -169.24730726379008.
[I 2025-12-17 12:55:31,530] Trial 9 finished with value: -269.75147578908275 and parameters: {'embedding_dim': 371, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 1024, 'discriminator_steps': 3}. Best is trial 0 with value: -169.24730726379008.
[I 2025-12-17 12:55:59,349] Trial 10 finished with value: -17.33229140176314 and parameters: {'embedding_dim': 497, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 1}. Best is trial 10 with value: -17.33229140176314.
[I 2025-12-17 12:56:27,778] Trial 11 finished with value: -294.07291367942656 and parameters: {'embedding_dim': 512, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 1}. Best is trial 10 with value: -17.33229140176314.
[I 2025-12-17 12:57:09,223] Trial 12 finished with value: -300.2909532247963 and parameters: {'embedding_dim': 448, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 10 with value: -17.33229140176314.
[I 2025-12-17 12:57:49,525] Trial 13 finished with value: -443.330454203609 and parameters: {'embedding_dim': 446, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 10 with value: -17.33229140176314.
[I 2025-12-17 12:58:30,200] Trial 14 finished with value: -67.15556525447316 and parameters: {'embedding_dim': 436, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 10 with value: -17.33229140176314.
[I 2025-12-17 12:59:11,271] Trial 15 finished with value: -232.09973293430275 and parameters: {'embedding_dim': 512, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 10 with value: -17.33229140176314.
[I 2025-12-17 12:59:38,662] Trial 16 finished with value: -990.8252289191684 and parameters: {'embedding_dim': 403, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 1}. Best is trial 10 with value: -17.33229140176314.
[I 2025-12-17 13:00:18,478] Trial 17 finished with value: -575.713743293899 and parameters: {'embedding_dim': 291, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 10 with value: -17.33229140176314.
[I 2025-12-17 13:00:27,136] Trial 18 finished with value: -801.5941136619956 and parameters: {'embedding_dim': 418, 'generator_dim': (256, 256), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 1024, 'discriminator_steps': 1}. Best is trial 10 with value: -17.33229140176314.
[I 2025-12-17 13:00:48,531] Trial 19 finished with value: -896.3611895956426 and parameters: {'embedding_dim': 343, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 512, 'discriminator_steps': 2}. Best is trial 10 with value: -17.33229140176314.
[I 2025-12-17 13:01:55,347] Trial 20 finished with value: -255.0193439206809 and parameters: {'embedding_dim': 479, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 4}. Best is trial 10 with value: -17.33229140176314.
[I 2025-12-17 13:03:04,530] Trial 21 finished with value: -54.158592739314116 and parameters: {'embedding_dim': 452, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 4}. Best is trial 10 with value: -17.33229140176314.
[I 2025-12-17 13:04:15,836] Trial 22 finished with value: -58.556918417257464 and parameters: {'embedding_dim': 426, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 4}. Best is trial 10 with value: -17.33229140176314.
[I 2025-12-17 13:05:29,492] Trial 23 finished with value: -693.9097667652926 and parameters: {'embedding_dim': 474, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 4}. Best is trial 10 with value: -17.33229140176314.
[I 2025-12-17 13:06:44,147] Trial 24 finished with value: -107.31658734666027 and parameters: {'embedding_dim': 382, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 4}. Best is trial 10 with value: -17.33229140176314.
[I 2025-12-17 13:07:58,171] Trial 25 finished with value: -678.2888718238218 and parameters: {'embedding_dim': 481, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 4}. Best is trial 10 with value: -17.33229140176314.
[I 2025-12-17 13:09:11,767] Trial 26 finished with value: -69.29112657317782 and parameters: {'embedding_dim': 427, 'generator_dim': (256, 256), 'discriminator_dim': (128, 128), 'pac': 8, 'batch_size': 256, 'discriminator_steps': 4}. Best is trial 10 with value: -17.33229140176314.
[I 2025-12-17 13:10:36,421] Trial 27 finished with value: -296.25141267450186 and parameters: {'embedding_dim': 266, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 5}. Best is trial 10 with value: -17.33229140176314.
[I 2025-12-17 13:11:11,852] Trial 28 finished with value: -69.42281927758532 and parameters: {'embedding_dim': 510, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 512, 'discriminator_steps': 4}. Best is trial 10 with value: -17.33229140176314.
[I 2025-12-17 13:11:32,451] Trial 29 finished with value: -367.319254351256 and parameters: {'embedding_dim': 459, 'generator_dim': (128, 128), 'discriminator_dim': (256, 256), 'pac': 4, 'batch_size': 1024, 'discriminator_steps': 5}. Best is trial 10 with value: -17.33229140176314.
[I 2025-12-17 13:11:59,185] A new study created in memory with name: no-name-96c0f44a-dc3a-4410-b1b3-b85f04dd8032
[I 2025-12-17 13:12:02,678] Trial 0 finished with value: -35.9324435462535 and parameters: {'embedding_dim': 69, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 256, 'discriminator_steps': 1}. Best is trial 0 with value: -35.9324435462535.
[I 2025-12-17 13:12:07,566] Trial 1 finished with value: -35.846751212231176 and parameters: {'embedding_dim': 78, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 64, 'discriminator_steps': 2}. Best is trial 1 with value: -35.846751212231176.
[I 2025-12-17 13:12:14,139] Trial 2 finished with value: -132.70806501421575 and parameters: {'embedding_dim': 68, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 64, 'discriminator_steps': 3}. Best is trial 1 with value: -35.846751212231176.
[I 2025-12-17 13:12:17,618] Trial 3 finished with value: -47.61611075064128 and parameters: {'embedding_dim': 103, 'generator_dim': (64, 64), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 1}. Best is trial 1 with value: -35.846751212231176.
[I 2025-12-17 13:12:22,766] Trial 4 finished with value: -7.454839914353274 and parameters: {'embedding_dim': 70, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 128, 'discriminator_steps': 2}. Best is trial 4 with value: -7.454839914353274.
[I 2025-12-17 13:12:29,510] Trial 5 finished with value: -42.682060932360045 and parameters: {'embedding_dim': 78, 'generator_dim': (64, 64), 'discriminator_dim': (128, 128), 'pac': 8, 'batch_size': 128, 'discriminator_steps': 3}. Best is trial 4 with value: -7.454839914353274.
[I 2025-12-17 13:12:36,063] Trial 6 finished with value: -114.04455856392626 and parameters: {'embedding_dim': 120, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 64, 'discriminator_steps': 3}. Best is trial 4 with value: -7.454839914353274.
[I 2025-12-17 13:12:42,793] Trial 7 finished with value: -28.615650823466645 and parameters: {'embedding_dim': 92, 'generator_dim': (64, 64), 'discriminator_dim': (128, 128), 'pac': 8, 'batch_size': 128, 'discriminator_steps': 3}. Best is trial 4 with value: -7.454839914353274.
[I 2025-12-17 13:12:49,989] Trial 8 finished with value: -8.857007630671955 and parameters: {'embedding_dim': 67, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 3}. Best is trial 4 with value: -7.454839914353274.
[I 2025-12-17 13:12:53,460] Trial 9 finished with value: -260.567333626546 and parameters: {'embedding_dim': 104, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 8, 'batch_size': 256, 'discriminator_steps': 1}. Best is trial 4 with value: -7.454839914353274.
[I 2025-12-17 13:12:58,511] Trial 10 finished with value: -166.05605712412353 and parameters: {'embedding_dim': 88, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 128, 'discriminator_steps': 2}. Best is trial 4 with value: -7.454839914353274.
[I 2025-12-17 13:13:03,534] Trial 11 finished with value: -80.34165442994153 and parameters: {'embedding_dim': 64, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 128, 'discriminator_steps': 2}. Best is trial 4 with value: -7.454839914353274.
[I 2025-12-17 13:13:08,884] Trial 12 finished with value: -78.25029007281096 and parameters: {'embedding_dim': 80, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 4 with value: -7.454839914353274.
[I 2025-12-17 13:13:14,237] Trial 13 finished with value: -23.245070264159708 and parameters: {'embedding_dim': 126, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 4 with value: -7.454839914353274.
[I 2025-12-17 13:13:21,028] Trial 14 finished with value: -132.4044362751124 and parameters: {'embedding_dim': 73, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 128, 'discriminator_steps': 3}. Best is trial 4 with value: -7.454839914353274.
[I 2025-12-17 13:13:26,113] Trial 15 finished with value: -174.00876769546522 and parameters: {'embedding_dim': 86, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 128, 'discriminator_steps': 2}. Best is trial 4 with value: -7.454839914353274.
[I 2025-12-17 13:13:33,390] Trial 16 finished with value: -70.61814689520975 and parameters: {'embedding_dim': 101, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 256, 'discriminator_steps': 3}. Best is trial 4 with value: -7.454839914353274.
[I 2025-12-17 13:13:36,729] Trial 17 finished with value: -177.87096146050646 and parameters: {'embedding_dim': 114, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 128, 'discriminator_steps': 1}. Best is trial 4 with value: -7.454839914353274.
[I 2025-12-17 13:13:42,072] Trial 18 finished with value: -18.07824272407339 and parameters: {'embedding_dim': 74, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 4 with value: -7.454839914353274.
[I 2025-12-17 13:13:48,577] Trial 19 finished with value: -20.70361884768787 and parameters: {'embedding_dim': 64, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 64, 'discriminator_steps': 3}. Best is trial 4 with value: -7.454839914353274.
[I 2025-12-17 13:13:53,920] Trial 20 finished with value: -22.598991940031432 and parameters: {'embedding_dim': 84, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 4 with value: -7.454839914353274.
[I 2025-12-17 13:13:59,339] Trial 21 finished with value: -27.909881111946667 and parameters: {'embedding_dim': 74, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 4 with value: -7.454839914353274.
[I 2025-12-17 13:14:05,022] Trial 22 finished with value: -6.223176200590712 and parameters: {'embedding_dim': 72, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 22 with value: -6.223176200590712.
[I 2025-12-17 13:14:10,413] Trial 23 finished with value: -144.04887979808308 and parameters: {'embedding_dim': 70, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 22 with value: -6.223176200590712.
[I 2025-12-17 13:14:13,894] Trial 24 finished with value: -120.25168380594673 and parameters: {'embedding_dim': 96, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 256, 'discriminator_steps': 1}. Best is trial 22 with value: -6.223176200590712.
[I 2025-12-17 13:14:18,934] Trial 25 finished with value: -33.38890893286935 and parameters: {'embedding_dim': 64, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 128, 'discriminator_steps': 2}. Best is trial 22 with value: -6.223176200590712.
[I 2025-12-17 13:14:26,301] Trial 26 finished with value: -62.85350413006152 and parameters: {'embedding_dim': 82, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 8, 'batch_size': 256, 'discriminator_steps': 3}. Best is trial 22 with value: -6.223176200590712.
[I 2025-12-17 13:14:31,821] Trial 27 finished with value: -23.498478376749595 and parameters: {'embedding_dim': 76, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 22 with value: -6.223176200590712.
[I 2025-12-17 13:14:36,747] Trial 28 finished with value: -52.732243521393116 and parameters: {'embedding_dim': 90, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 64, 'discriminator_steps': 2}. Best is trial 22 with value: -6.223176200590712.
[I 2025-12-17 13:14:40,261] Trial 29 finished with value: -522.8604091333732 and parameters: {'embedding_dim': 68, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 128, 'discriminator_steps': 1}. Best is trial 22 with value: -6.223176200590712.
[I 2025-12-17 13:14:47,606] Trial 30 finished with value: -84.90806144190884 and parameters: {'embedding_dim': 71, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 256, 'discriminator_steps': 3}. Best is trial 22 with value: -6.223176200590712.
[I 2025-12-17 13:14:53,115] Trial 31 finished with value: -21.250506945888773 and parameters: {'embedding_dim': 74, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 22 with value: -6.223176200590712.
[I 2025-12-17 13:14:58,466] Trial 32 finished with value: -37.32143018811486 and parameters: {'embedding_dim': 68, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 22 with value: -6.223176200590712.
[I 2025-12-17 13:15:03,808] Trial 33 finished with value: -37.661019076803086 and parameters: {'embedding_dim': 80, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 22 with value: -6.223176200590712.
[I 2025-12-17 13:15:09,135] Trial 34 finished with value: -46.1269191710778 and parameters: {'embedding_dim': 68, 'generator_dim': (64, 64), 'discriminator_dim': (128, 128), 'pac': 8, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 22 with value: -6.223176200590712.
[I 2025-12-17 13:15:14,060] Trial 35 finished with value: -39.535949284618724 and parameters: {'embedding_dim': 77, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 64, 'discriminator_steps': 2}. Best is trial 22 with value: -6.223176200590712.
[I 2025-12-17 13:15:17,806] Trial 36 finished with value: -780.7884761611498 and parameters: {'embedding_dim': 70, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 256, 'discriminator_steps': 1}. Best is trial 22 with value: -6.223176200590712.
